Date,Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
1997-10-23,0.225,0.226042,0.221354,0.191146,0.18125,0.18125,0.196094,0.198958
1997-10-24,0.251302,0.225,0.226042,0.221354,0.191146,0.18125,0.18125,0.196094
1997-10-27,0.213542,0.251302,0.225,0.226042,0.221354,0.191146,0.18125,0.18125
1997-10-28,0.247396,0.213542,0.251302,0.225,0.226042,0.221354,0.191146,0.18125
1997-10-29,0.269531,0.247396,0.213542,0.251302,0.225,0.226042,0.221354,0.191146
1997-10-30,0.25625,0.269531,0.247396,0.213542,0.251302,0.225,0.226042,0.221354
1997-10-31,0.254167,0.25625,0.269531,0.247396,0.213542,0.251302,0.225,0.226042
1997-11-03,0.253646,0.254167,0.25625,0.269531,0.247396,0.213542,0.251302,0.225
1997-11-04,0.247917,0.253646,0.254167,0.25625,0.269531,0.247396,0.213542,0.251302
1997-11-05,0.24375,0.247917,0.253646,0.254167,0.25625,0.269531,0.247396,0.213542
1997-11-06,0.233073,0.24375,0.247917,0.253646,0.254167,0.25625,0.269531,0.247396
1997-11-07,0.223958,0.233073,0.24375,0.247917,0.253646,0.254167,0.25625,0.269531
1997-11-10,0.210417,0.223958,0.233073,0.24375,0.247917,0.253646,0.254167,0.25625
1997-11-11,0.197396,0.210417,0.223958,0.233073,0.24375,0.247917,0.253646,0.254167
1997-11-12,0.188542,0.197396,0.210417,0.223958,0.233073,0.24375,0.247917,0.253646
1997-11-13,0.192969,0.188542,0.197396,0.210417,0.223958,0.233073,0.24375,0.247917
1997-11-14,0.208333,0.192969,0.188542,0.197396,0.210417,0.223958,0.233073,0.24375
1997-11-17,0.21875,0.208333,0.192969,0.188542,0.197396,0.210417,0.223958,0.233073
1997-11-18,0.220833,0.21875,0.208333,0.192969,0.188542,0.197396,0.210417,0.223958
1997-11-19,0.225521,0.220833,0.21875,0.208333,0.192969,0.188542,0.197396,0.210417
1997-11-20,0.229167,0.225521,0.220833,0.21875,0.208333,0.192969,0.188542,0.197396
1997-11-21,0.224479,0.229167,0.225521,0.220833,0.21875,0.208333,0.192969,0.188542
1997-11-24,0.211458,0.224479,0.229167,0.225521,0.220833,0.21875,0.208333,0.192969
1997-11-25,0.210156,0.211458,0.224479,0.229167,0.225521,0.220833,0.21875,0.208333
1997-11-26,0.213021,0.210156,0.211458,0.224479,0.229167,0.225521,0.220833,0.21875
1997-11-28,0.20625,0.213021,0.210156,0.211458,0.224479,0.229167,0.225521,0.220833
1997-12-01,0.213542,0.20625,0.213021,0.210156,0.211458,0.224479,0.229167,0.225521
1997-12-02,0.211719,0.213542,0.20625,0.213021,0.210156,0.211458,0.224479,0.229167
1997-12-03,0.218229,0.211719,0.213542,0.20625,0.213021,0.210156,0.211458,0.224479
1997-12-04,0.225,0.218229,0.211719,0.213542,0.20625,0.213021,0.210156,0.211458
1997-12-05,0.229688,0.225,0.218229,0.211719,0.213542,0.20625,0.213021,0.210156
1997-12-08,0.235417,0.229688,0.225,0.218229,0.211719,0.213542,0.20625,0.213021
1997-12-09,0.234375,0.235417,0.229688,0.225,0.218229,0.211719,0.213542,0.20625
1997-12-10,0.225521,0.234375,0.235417,0.229688,0.225,0.218229,0.211719,0.213542
1997-12-11,0.234375,0.225521,0.234375,0.235417,0.229688,0.225,0.218229,0.211719
1997-12-12,0.227083,0.234375,0.225521,0.234375,0.235417,0.229688,0.225,0.218229
1997-12-15,0.229167,0.227083,0.234375,0.225521,0.234375,0.235417,0.229688,0.225
1997-12-16,0.222917,0.229167,0.227083,0.234375,0.225521,0.234375,0.235417,0.229688
1997-12-17,0.219531,0.222917,0.229167,0.227083,0.234375,0.225521,0.234375,0.235417
1997-12-18,0.214583,0.219531,0.222917,0.229167,0.227083,0.234375,0.225521,0.234375
1997-12-19,0.225,0.214583,0.219531,0.222917,0.229167,0.227083,0.234375,0.225521
1997-12-22,0.234896,0.225,0.214583,0.219531,0.222917,0.229167,0.227083,0.234375
1997-12-23,0.23125,0.234896,0.225,0.214583,0.219531,0.222917,0.229167,0.227083
1997-12-24,0.230208,0.23125,0.234896,0.225,0.214583,0.219531,0.222917,0.229167
1997-12-26,0.226042,0.230208,0.23125,0.234896,0.225,0.214583,0.219531,0.222917
1997-12-29,0.2375,0.226042,0.230208,0.23125,0.234896,0.225,0.214583,0.219531
1997-12-30,0.242448,0.2375,0.226042,0.230208,0.23125,0.234896,0.225,0.214583
1997-12-31,0.251042,0.242448,0.2375,0.226042,0.230208,0.23125,0.234896,0.225
1998-01-02,0.247917,0.251042,0.242448,0.2375,0.226042,0.230208,0.23125,0.234896
1998-01-05,0.2375,0.247917,0.251042,0.242448,0.2375,0.226042,0.230208,0.23125
1998-01-06,0.241927,0.2375,0.247917,0.251042,0.242448,0.2375,0.226042,0.230208
1998-01-07,0.239063,0.241927,0.2375,0.247917,0.251042,0.242448,0.2375,0.226042
1998-01-08,0.230729,0.239063,0.241927,0.2375,0.247917,0.251042,0.242448,0.2375
1998-01-09,0.213021,0.230729,0.239063,0.241927,0.2375,0.247917,0.251042,0.242448
1998-01-12,0.215104,0.213021,0.230729,0.239063,0.241927,0.2375,0.247917,0.251042
1998-01-13,0.232292,0.215104,0.213021,0.230729,0.239063,0.241927,0.2375,0.247917
1998-01-14,0.24375,0.232292,0.215104,0.213021,0.230729,0.239063,0.241927,0.2375
1998-01-15,0.247656,0.24375,0.232292,0.215104,0.213021,0.230729,0.239063,0.241927
1998-01-16,0.239583,0.247656,0.24375,0.232292,0.215104,0.213021,0.230729,0.239063
1998-01-20,0.247656,0.239583,0.247656,0.24375,0.232292,0.215104,0.213021,0.230729
1998-01-21,0.253646,0.247656,0.239583,0.247656,0.24375,0.232292,0.215104,0.213021
1998-01-22,0.256771,0.253646,0.247656,0.239583,0.247656,0.24375,0.232292,0.215104
1998-01-23,0.246875,0.256771,0.253646,0.247656,0.239583,0.247656,0.24375,0.232292
1998-01-26,0.240625,0.246875,0.256771,0.253646,0.247656,0.239583,0.247656,0.24375
1998-01-27,0.2375,0.240625,0.246875,0.256771,0.253646,0.247656,0.239583,0.247656
1998-01-28,0.238542,0.2375,0.240625,0.246875,0.256771,0.253646,0.247656,0.239583
1998-01-29,0.247917,0.238542,0.2375,0.240625,0.246875,0.256771,0.253646,0.247656
1998-01-30,0.245833,0.247917,0.238542,0.2375,0.240625,0.246875,0.256771,0.253646
1998-02-02,0.259896,0.245833,0.247917,0.238542,0.2375,0.240625,0.246875,0.256771
1998-02-03,0.257552,0.259896,0.245833,0.247917,0.238542,0.2375,0.240625,0.246875
1998-02-04,0.253125,0.257552,0.259896,0.245833,0.247917,0.238542,0.2375,0.240625
1998-02-05,0.246875,0.253125,0.257552,0.259896,0.245833,0.247917,0.238542,0.2375
1998-02-06,0.245313,0.246875,0.253125,0.257552,0.259896,0.245833,0.247917,0.238542
1998-02-09,0.242708,0.245313,0.246875,0.253125,0.257552,0.259896,0.245833,0.247917
1998-02-10,0.265104,0.242708,0.245313,0.246875,0.253125,0.257552,0.259896,0.245833
1998-02-11,0.264583,0.265104,0.242708,0.245313,0.246875,0.253125,0.257552,0.259896
1998-02-12,0.263021,0.264583,0.265104,0.242708,0.245313,0.246875,0.253125,0.257552
1998-02-13,0.259375,0.263021,0.264583,0.265104,0.242708,0.245313,0.246875,0.253125
1998-02-17,0.257292,0.259375,0.263021,0.264583,0.265104,0.242708,0.245313,0.246875
1998-02-18,0.253646,0.257292,0.259375,0.263021,0.264583,0.265104,0.242708,0.245313
1998-02-19,0.261458,0.253646,0.257292,0.259375,0.263021,0.264583,0.265104,0.242708
1998-02-20,0.263542,0.261458,0.253646,0.257292,0.259375,0.263021,0.264583,0.265104
1998-02-23,0.270313,0.263542,0.261458,0.253646,0.257292,0.259375,0.263021,0.264583
1998-02-24,0.270313,0.270313,0.263542,0.261458,0.253646,0.257292,0.259375,0.263021
1998-02-25,0.274479,0.270313,0.270313,0.263542,0.261458,0.253646,0.257292,0.259375
1998-02-26,0.303125,0.274479,0.270313,0.270313,0.263542,0.261458,0.253646,0.257292
1998-02-27,0.320833,0.303125,0.274479,0.270313,0.270313,0.263542,0.261458,0.253646
1998-03-02,0.317708,0.320833,0.303125,0.274479,0.270313,0.270313,0.263542,0.261458
1998-03-03,0.298958,0.317708,0.320833,0.303125,0.274479,0.270313,0.270313,0.263542
1998-03-04,0.30599,0.298958,0.317708,0.320833,0.303125,0.274479,0.270313,0.270313
1998-03-05,0.3125,0.30599,0.298958,0.317708,0.320833,0.303125,0.274479,0.270313
1998-03-06,0.319792,0.3125,0.30599,0.298958,0.317708,0.320833,0.303125,0.274479
1998-03-09,0.347917,0.319792,0.3125,0.30599,0.298958,0.317708,0.320833,0.303125
1998-03-10,0.346289,0.347917,0.319792,0.3125,0.30599,0.298958,0.317708,0.320833
1998-03-11,0.331771,0.346289,0.347917,0.319792,0.3125,0.30599,0.298958,0.317708
1998-03-12,0.327083,0.331771,0.346289,0.347917,0.319792,0.3125,0.30599,0.298958
1998-03-13,0.327865,0.327083,0.331771,0.346289,0.347917,0.319792,0.3125,0.30599
1998-03-16,0.329167,0.327865,0.327083,0.331771,0.346289,0.347917,0.319792,0.3125
1998-03-17,0.332813,0.329167,0.327865,0.327083,0.331771,0.346289,0.347917,0.319792
1998-03-18,0.355469,0.332813,0.329167,0.327865,0.327083,0.331771,0.346289,0.347917
1998-03-19,0.35,0.355469,0.332813,0.329167,0.327865,0.327083,0.331771,0.346289
1998-03-20,0.35,0.35,0.355469,0.332813,0.329167,0.327865,0.327083,0.331771
1998-03-23,0.349219,0.35,0.35,0.355469,0.332813,0.329167,0.327865,0.327083
1998-03-24,0.351042,0.349219,0.35,0.35,0.355469,0.332813,0.329167,0.327865
1998-03-25,0.340365,0.351042,0.349219,0.35,0.35,0.355469,0.332813,0.329167
1998-03-26,0.344792,0.340365,0.351042,0.349219,0.35,0.35,0.355469,0.332813
1998-03-27,0.354167,0.344792,0.340365,0.351042,0.349219,0.35,0.35,0.355469
1998-03-30,0.357813,0.354167,0.344792,0.340365,0.351042,0.349219,0.35,0.35
1998-03-31,0.35638,0.357813,0.354167,0.344792,0.340365,0.351042,0.349219,0.35
1998-04-01,0.375521,0.35638,0.357813,0.354167,0.344792,0.340365,0.351042,0.349219
1998-04-02,0.396094,0.375521,0.35638,0.357813,0.354167,0.344792,0.340365,0.351042
1998-04-03,0.3875,0.396094,0.375521,0.35638,0.357813,0.354167,0.344792,0.340365
1998-04-06,0.369271,0.3875,0.396094,0.375521,0.35638,0.357813,0.354167,0.344792
1998-04-07,0.358333,0.369271,0.3875,0.396094,0.375521,0.35638,0.357813,0.354167
1998-04-08,0.369271,0.358333,0.369271,0.3875,0.396094,0.375521,0.35638,0.357813
1998-04-09,0.396875,0.369271,0.358333,0.369271,0.3875,0.396094,0.375521,0.35638
1998-04-13,0.392969,0.396875,0.369271,0.358333,0.369271,0.3875,0.396094,0.375521
1998-04-14,0.404948,0.392969,0.396875,0.369271,0.358333,0.369271,0.3875,0.396094
1998-04-15,0.400521,0.404948,0.392969,0.396875,0.369271,0.358333,0.369271,0.3875
1998-04-16,0.410417,0.400521,0.404948,0.392969,0.396875,0.369271,0.358333,0.369271
1998-04-17,0.395313,0.410417,0.400521,0.404948,0.392969,0.396875,0.369271,0.358333
1998-04-20,0.392708,0.395313,0.410417,0.400521,0.404948,0.392969,0.396875,0.369271
1998-04-21,0.38776,0.392708,0.395313,0.410417,0.400521,0.404948,0.392969,0.396875
1998-04-22,0.363542,0.38776,0.392708,0.395313,0.410417,0.400521,0.404948,0.392969
1998-04-23,0.3375,0.363542,0.38776,0.392708,0.395313,0.410417,0.400521,0.404948
1998-04-24,0.353646,0.3375,0.363542,0.38776,0.392708,0.395313,0.410417,0.400521
1998-04-27,0.344792,0.353646,0.3375,0.363542,0.38776,0.392708,0.395313,0.410417
1998-04-28,0.398438,0.344792,0.353646,0.3375,0.363542,0.38776,0.392708,0.395313
1998-04-29,0.397917,0.398438,0.344792,0.353646,0.3375,0.363542,0.38776,0.392708
1998-04-30,0.382292,0.397917,0.398438,0.344792,0.353646,0.3375,0.363542,0.38776
1998-05-01,0.39375,0.382292,0.397917,0.398438,0.344792,0.353646,0.3375,0.363542
1998-05-04,0.396875,0.39375,0.382292,0.397917,0.398438,0.344792,0.353646,0.3375
1998-05-05,0.390495,0.396875,0.39375,0.382292,0.397917,0.398438,0.344792,0.353646
1998-05-06,0.376563,0.390495,0.396875,0.39375,0.382292,0.397917,0.398438,0.344792
1998-05-07,0.379167,0.376563,0.390495,0.396875,0.39375,0.382292,0.397917,0.398438
